_id,label,table1.id,table2.id,table1.name,table2.name,table1.addr,table2.addr,table1.city,table2.city,table1.phone,table2.phone,table1.type,table2.type,table1.class,table2.class
13,0,405,174,` luna si ',` original pancake house ( at ) ',' 1931 peachtree rd. ',' 4330 peachtree rd. ',atlanta,atlanta,404/355 -5993,404-237-4116,continental,american,405,708
14,0,197,260,bruno,` les celebrites ',' 240 e. 58th st. ',' 155 w. 58th st. ',` new york ',` new york city ',212/688 -4190,212-484-5113,italian,` french ( classic ) ',195,42
15,0,135,45,eclipse,` mo better meatty meat ',' 8800 melrose ave. ',' 7261 melrose ave. ',` los angeles ',la,310/724 -5959,213-935-5280,californian,hamburgers,132,579
16,0,156,122,` pacific dining car ',` andre \ 's french restaurant ',' 6th st. ',' 401 s. 6th st. ',` los angeles ',` las vegas ',213/483 -6000,702-385-5016,american,` french ( classic ) ',153,656
17,1,55,273,` rainbow room ',` rainbow room ','30 rockefeller plaza ','30 rockefeller plaza ',` new york ',` new york city ',212/632 -5000,212-632-5000,` or 212/632 -5100 american ',` american ( new ) ',55,55
18,1,97,315,` cafe claude ',` cafe claude ',' 7 claude la . ',' 7 claude ln . ',` san francisco ',` san francisco ',415/392 -3505,415-392-3505,french,` french bistro ',97,97
19,0,452,134,` yolie \ 's ',` nicky blair \ 's ',' 3900 paradise rd. ',' 3925 paradise rd. ',` las vegas ',` las vegas ',702/794 -0700,702-792-9900,` steak houses ',italian,452,668
20,0,83,104,` heera of india ',` rose of india ',' 595 piedmont ave. rio shopping mall ',' 308 e. sixth st. ',atlanta,` new york city ',404/876 -4408,212-533-5011,asian,indian,83,638
21,0,490,189,` l \ ` osteria del forno ',` campo santo ',' 519 columbus ave. ',' 240 columbus ave. ',` san francisco ',` san francisco ',415/982 -1124,415-433-9623,italian,mexican,490,724
22,0,427,132,` bertolini \ 's ',moongate,' 3570 las vegas blvd. s ',' 3400 las vegas blvd. s. ',` las vegas ',` las vegas ',702/735 -4663,702-791-7352,italian,chinese,427,666
23,0,495,159,maykadeh,` greenwood \ 's ',' 470 green st. ',' 1087 green st. ',` san francisco ',roswell,415/362 -8286,770-992-5383,` greek and middle eastern ',southern/soul,495,693
24,0,32,270,dawat,petrossian,' 210 e. 58th st. ',' 182 w. 58th st. ',` new york ',` new york city ',212/355 -7555,212-245-2214,asian,russian,32,52
25,0,449,290,` the bacchanal ',` steak house the ',' 3570 las vegas blvd. s ',' 2880 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7525,702-734-0410,` only in las vegas ',steakhouses,449,72
26,0,159,56,posto,` rubin \ 's red hots ',' 14928 ventura blvd. ',' 15322 ventura blvd. ',` sherman oaks ',encino,818/784 -4400,818-905-6515,italian,` hot dogs ',156,590
27,0,423,124,` antonio \ 's ',` buzio \ 's in the rio ',' 3700 w. flamingo ',' 3700 w. flamingo rd. ',` las vegas ',` las vegas ',702/252 -7737,702-252-7697,italian,seafood,423,658
28,0,338,259,` ruth \ 's chris ',` le bernardin ',' 148 w. 51st st. ',' 155 w. 51st st. ',` new york ',` new york city ',212/245 -9600,212-489-1515,american,seafood,338,41
29,0,170,234,` tommy tang \ 's ',patina,' 7313 melrose ave. ',' 5955 melrose ave. ',` los angeles ',` los angeles ',213/937 -5733,213-467-1108,asian,californian,167,16
30,0,437,139,` circus circus ',` sterling brunch ',' 2880 las vegas blvd. s ',' 3645 las vegas blvd. s. ',` las vegas ',` las vegas ',702/734 -0410,702-739-4651,buffets,eclectic,437,673
31,0,11,232,` l \ ` orangerie ',matsuhisa,' 903 n. la cienega blvd. ',' 129 n. la cienega blvd. ',` los angeles ',` beverly hills ',310/652 -9770,310-659-9639,french,seafood,11,14
32,0,373,107,vong,` sparks steak house ',' 200 e. 54th st. ',' 210 e. 46th st. ',` new york ',` new york city ',212/486 -9592,212-687-4855,american,steakhouses,373,641
33,0,444,290,` margarita \ 's mexican cantina ',` steak house the ',' 3120 las vegas blvd. s ',' 2880 las vegas blvd. s. ',` las vegas ',` las vegas ',702/794 -8200,702-734-0410,mexican,steakhouses,444,72
34,0,90,175,` dining room ritz-carlton buckhead ',` palm the ( atlanta ) ',' 3434 peachtree rd. ',' 3391 peachtree rd. ne ',atlanta,atlanta,404/237 -2700,404-814-1955,international,steakhouses,90,709
35,0,393,292,` dante \ 's down the hatch buckhead ',abruzzi,' 3380 peachtree rd. ',' 2355 peachtree rd. ne ',atlanta,atlanta,404/266 -1600,404-261-8186,continental,italian,393,74
36,0,479,88,helmand,` la caridad ',' 430 broadway ',' 2199 broadway ',` san francisco ',` new york city ',415/362 -0641,212-874-2780,` greek and middle eastern ',cuban,479,622
37,0,448,140,` ralph \ 's diner ',` tre visi ',' 3000 las vegas blvd. s ',' 3799 las vegas blvd. s. ',` las vegas ',` las vegas ',702/732 -6330,702-891-7331,` coffee shops/diners ',italian,448,674
38,0,530,327,` yoyo tsumami bistro ',postrio,' 1611 post st. ',' 545 post st. ',` san francisco ',` san francisco ',415/922 -7788,415-776-7825,french,californian,530,109
39,1,59,277,seryna,seryna,'11 e. 53rd st. ','11 e. 53rd st. ',` new york ',` new york city ',212/980 -9393,212-980-9393,asian,japanese,59,59
40,0,405,148,` luna si ',` brookhaven cafe ',' 1931 peachtree rd. ',' 4274 peachtree rd. ',atlanta,atlanta,404/355 -5993,404-231-5907,continental,vegetarian,405,682
41,0,446,131,mikado,` monte carlo ',' 3400 las vegas blvd. s ',' 3145 las vegas blvd. s. ',` las vegas ',` las vegas ',702/791 -7111,702-733-4524,asian,` french ( new ) ',446,665
42,0,429,132,bistro,moongate,' 3400 las vegas blvd. s ',' 3400 las vegas blvd. s. ',` las vegas ',` las vegas ',702/791 -7111,702-791-7352,continental,chinese,429,666
43,0,207,187,` cafe fes ',` cafe flore ',' 246 w. 4th st. at charles st. ',' 2298 market st. ',` new york ',` san francisco ',212/924 -7653,415-621-8579,mediterranean,californian,205,722
44,0,446,139,mikado,` sterling brunch ',' 3400 las vegas blvd. s ',' 3645 las vegas blvd. s. ',` las vegas ',` las vegas ',702/791 -7111,702-739-4651,asian,eclectic,446,673
45,0,18,56,` pinot bistro ',` rubin \ 's red hots ',' 12969 ventura blvd. ',' 15322 ventura blvd. ',` los angeles ',encino,818/990 -0500,818-905-6515,french,` hot dogs ',18,590
46,1,106,324,` masa \ 's ',` masa \ 's ',' 648 bush st. ',' 648 bush st. ',` san francisco ',` san francisco ',415/989 -7154,415-989-7154,french,` french ( new ) ',106,106
47,0,438,136,'em press court ',` spago ( las vegas ) ',' 3570 las vegas blvd. s ',' 3500 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7888,702-369-6300,asian,californian,438,670
48,1,47,265,` mesa grill ',` mesa grill ',' 102 5th ave. between 15th and 16th sts . ',' 102 fifth ave. ',` new york ',` new york city ',212/807 -7400,212-807-7400,american,southwestern,47,47
49,0,67,130,` chin \ 's ',` michael \ 's ( las vegas ) ',' 3200 las vegas blvd. s ',' 3595 las vegas blvd. s. ',` las vegas ',` las vegas ',702/733 -8899,702-737-7111,asian,continental,67,664
50,0,16,45,patina,` mo better meatty meat ',' 5955 melrose ave. ',' 7261 melrose ave. ',` los angeles ',la,213/467 -1108,213-935-5280,californian,hamburgers,16,579
51,0,363,244,triangolo,` cafe lalo ',' 345 e. 83rd st. ',' 201 w. 83rd st. ',` new york ',` new york city ',212/472 -4488,212-496-6031,italian,coffeehouses,363,26
52,0,138,223,` gilliland \ 's ',` chinois on main ',' 2424 main st. ',' 2709 main st. ',` santa monica ',` santa monica ',310/392 -3901,310-392-9025,american,` pacific new wave ',135,5
53,1,87,305,` nikolai \ 's roof ',` nikolai \ 's roof ',' 255 courtland st. at harris st. ',' 255 courtland st. ',atlanta,atlanta,404/221 -6362,404-221-6362,continental,continental,87,87
54,0,32,107,dawat,` sparks steak house ',' 210 e. 58th st. ',' 210 e. 46th st. ',` new york ',` new york city ',212/355 -7555,212-687-4855,asian,steakhouses,32,641
55,1,41,259,` le bernardin ',` le bernardin ',' 155 w. 51st st. ',' 155 w. 51st st. ',` new york ',` new york city ',212/489 -1515,212-489-1515,french,seafood,41,41
56,0,469,318,faz,` fleur de lys ',' 161 sutter st. ',' 777 sutter st. ',` san francisco ',` san francisco ',415/362 -0404,415-673-7779,` greek and middle eastern ',` french ( new ) ',469,100
57,0,93,146,` veni vidi vici ',` bobby & june \ 's kountry kitchen ','41 14th st. ',' 375 14th st. ',atlanta,atlanta,404/875 -8424,404-876-3872,italian,southern/soul,93,680
58,0,446,136,mikado,` spago ( las vegas ) ',' 3400 las vegas blvd. s ',' 3500 las vegas blvd. s. ',` las vegas ',` las vegas ',702/791 -7111,702-369-6300,asian,californian,446,670
59,0,222,259,cite,` le bernardin ',' 120 w. 51st st. ',' 155 w. 51st st. ',` new york ',` new york city ',212/956 -7100,212-489-1515,french,seafood,220,41
60,1,50,268,oceana,oceana,'55 e. 54th st. ','55 e. 54th st. ',` new york ',` new york city ',212/759 -5941,212-759-5941,seafood,seafood,50,50
61,0,92,174,toulouse,` original pancake house ( at ) ',' b peachtree rd. ',' 4330 peachtree rd. ',atlanta,atlanta,404/351 -9533,404-237-4116,french,american,92,708
62,0,433,290,` cafe roma ',` steak house the ',' 3570 las vegas blvd. s ',' 2880 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7547,702-734-0410,` coffee shops/diners ',steakhouses,433,72
63,0,494,314,manora,boulevard,' 3226 mission st. ',' 1 mission st. ',` san francisco ',` san francisco ',415/861 -6224,415-543-6084,asian,` american ( new ) ',494,96
64,0,125,151,` canter \ 's ',` carey \ 's ',' 419 n. fairfax ave. ',' 1021 cobb pkwy . se ',` los angeles ',marietta,213/651 -2030 .,770-422-8042,american,hamburgers,122,685
65,0,481,312,` hong kong villa ',` alain rondelli ',' 2332 clement st. ',' 126 clement st. ',` san francisco ',` san francisco ',415/752 -8833,415-387-0408,asian,` french ( new ) ',481,94
66,0,446,286,mikado,` coyote cafe ( las vegas ) ',' 3400 las vegas blvd. s ',' 3799 las vegas blvd. s. ',` las vegas ',` las vegas ',702/791 -7111,702-891-7349,asian,southwestern,446,68
67,0,427,139,` bertolini \ 's ',` sterling brunch ',' 3570 las vegas blvd. s ',' 3645 las vegas blvd. s. ',` las vegas ',` las vegas ',702/735 -4663,702-739-4651,italian,eclectic,427,673
68,0,479,80,helmand,` gray \ 's papaya ',' 430 broadway ',' 2090 broadway ',` san francisco ',` new york city ',415/362 -0641,212-799-0243,` greek and middle eastern ',` hot dogs ',479,614
69,0,433,132,` cafe roma ',moongate,' 3570 las vegas blvd. s ',' 3400 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7547,702-791-7352,` coffee shops/diners ',chinese,433,666
70,0,485,26,` jack \ 's ',` joe \ 's ',' 615 sacramento st. ',' 1023 abbot kinney blvd. ',` san francisco ',venice,415/986 -9854,310-399-5811,` old san francisco ',` american ( new ) ',485,560
71,0,90,174,` dining room ritz-carlton buckhead ',` original pancake house ( at ) ',' 3434 peachtree rd. ',' 4330 peachtree rd. ',atlanta,atlanta,404/237 -2700,404-237-4116,international,american,90,708
72,0,44,261,lutece,` lespinasse ( new york city ) ',' 249 e. 50th st. ',' 2 e. 55th st. ',` new york ',` new york city ',212/752 -2225,212-339-6719,french,asian,44,43
73,0,438,128,'em press court ',` madame ching \ 's ',' 3570 las vegas blvd. s ',' 3300 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7888,702-894-7111,asian,asian,438,662
74,0,86,181,` mary mac \ 's tea room ',tortillas,' 224 ponce de leon ave. ',' 774 ponce de leon ave. ne ',atlanta,atlanta,404/876 -1800,404-892-0193,southern,tex-mex,86,716
75,0,21,55,valentino,` rae \ 's ',' 3115 pico blvd. ',' 2901 pico blvd. ',` santa monica ',` santa monica ',310/829 -4313,310-828-7937,italian,diners,21,589
76,0,105,197,lulu,` hamburger mary \ 's ',' 816 folsom st. ',' 1582 folsom st. ',` san francisco ',` san francisco ',415/495 -5775,415-626-1985,mediterranean,hamburgers,105,732
77,0,422,184,tomtom,` white house restaurant ',' 3393 peachtree rd. ',' 3172 peachtree rd. ne ',atlanta,atlanta,404/264 -1163,404-237-7601,continental,diners,422,719
78,0,120,4,` broadway deli ',` benita \ 's frites ',' 3rd st. promenade ',' 1433 third st. promenade ',` santa monica ',` santa monica ',310/451 -0616,310-458-2889,american,` fast food ',117,538
79,0,429,125,bistro,'em eril \ 's new orleans fish house ',' 3400 las vegas blvd. s ',' 3799 las vegas blvd. s. ',` las vegas ',` las vegas ',702/791 -7111,702-891-7374,continental,seafood,429,659
80,0,88,150,` pano \ 's and paul \ 's ',canoe,' 1232 w. paces ferry rd. ',' 4199 paces ferry rd. ',atlanta,atlanta,404/261 -3662,770-432-2663,international,` american ( new ) ',88,684
81,0,422,308,tomtom,` ritz-carlton dining room ( buckhead ) ',' 3393 peachtree rd. ',' 3434 peachtree rd. ne ',atlanta,atlanta,404/264 -1163,404-237-2700,continental,` american ( new ) ',422,90
82,0,373,289,vong,` second street grill ',' 200 e. 54th st. ',' 200 e. fremont st. ',` new york ',` las vegas ',212/486 -9592,702-385-6277,american,` pacific rim ',373,71
83,0,82,306,` hedgerose heights inn ',` pano \ 's & paul \ 's ',' 490 e. paces ferry rd. ',' 1232 w. paces ferry rd. ',atlanta,atlanta,404/233 -7673,404-261-3662,international,` american ( new ) ',82,88
84,0,110,309,` ritz-carlton restaurant and dining room ',` ritz-carlton restaurant ',' 600 stockton st. ',' 181 peachtree st. ',` san francisco ',atlanta,415/296 -7465,404-659-0400,american,` french ( classic ) ',110,91
85,0,433,133,` cafe roma ',` morton \ 's of chicago ( las vegas ) ',' 3570 las vegas blvd. s ',' 3200 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7547,702-893-0703,` coffee shops/diners ',steakhouses,433,667
86,0,247,318,` fleur de jour ',` fleur de lys ',' 348 e. 62nd st. ',' 777 sutter st. ',` new york ',` san francisco ',212/355 -2020,415-673-7779,` coffee bar ',` french ( new ) ',245,100
87,0,230,270,` dix et sept ',petrossian,' 181 w. 10th st. ',' 182 w. 58th st. ',` new york ',` new york city ',212/645 -8023,212-245-2214,french,russian,228,52
88,0,145,64,` jimmy \ 's ',` tommy \ 's ',' 201 moreno dr. ',' 2575 beverly blvd. ',` los angeles ',la,310/552 -2394,213-389-9060,continental,hamburgers,142,598
89,0,52,260,petrossian,` les celebrites ',' 182 w. 58th st. ',' 155 w. 58th st. ',` new york ',` new york city ',212/245 -2214,212-484-5113,french,` french ( classic ) ',52,42
90,0,95,195,aqua,'em erald garden restaurant ',' 252 california st. ',' 1550 california st. ',` san francisco ',` san francisco ',415/956 -9662,415-673-1155,seafood,vietnamese,95,730
91,0,135,62,eclipse,` sweet lady jane ',' 8800 melrose ave. ',' 8360 melrose ave. ',` los angeles ',la,310/724 -5959,213-653-7145,californian,desserts,132,596
92,0,90,303,` dining room ritz-carlton buckhead ',` la grotta ',' 3434 peachtree rd. ',' 2637 peachtree rd. ne ',atlanta,atlanta,404/237 -2700,404-231-1368,international,italian,90,85
93,0,371,241,` victor \ 's cafe ','21 club ','52 236 w. 52nd st. ','21 w. 52nd st. ',` new york ',` new york city ',212/586 -7714,212-582-7200,` latin american ',` american ( new ) ',371,23
94,0,72,136,` steak house ',` spago ( las vegas ) ',' 2880 las vegas blvd. s ',' 3500 las vegas blvd. s. ',` las vegas ',` las vegas ',702/734 -0410,702-369-6300,` steak houses ',californian,72,670
95,1,21,239,valentino,valentino,' 3115 pico blvd. ',' 3115 pico blvd. ',` santa monica ',` santa monica ',310/829 -4313,310-829-4313,italian,italian,21,21
96,0,344,106,` sarabeth \ 's kitchen ',` sarabeth \ 's ',' 423 amsterdam ave. between 80th and 81st sts . ',' 1295 madison ave. ',` new york ',` new york city ',212/496 -6280,212-410-7335,american,american,344,640
97,1,56,274,` river cafe ',` river cafe ',' 1 water st. at the east river ',' 1 water st. ',brooklyn,brooklyn,718/522 -5200,718-522-5200,american,` american ( new ) ',56,56
98,1,85,303,` la grotta ',` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',' 2637 peachtree rd. ne ',atlanta,atlanta,404/231 -1368,404-231-1368,italian,italian,85,85
99,0,429,290,bistro,` steak house the ',' 3400 las vegas blvd. s ',' 2880 las vegas blvd. s. ',` las vegas ',` las vegas ',702/791 -7111,702-734-0410,continental,steakhouses,429,72
100,0,448,136,` ralph \ 's diner ',` spago ( las vegas ) ',' 3000 las vegas blvd. s ',' 3500 las vegas blvd. s. ',` las vegas ',` las vegas ',702/732 -6330,702-369-6300,` coffee shops/diners ',californian,448,670
101,0,438,290,'em press court ',` steak house the ',' 3570 las vegas blvd. s ',' 2880 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7888,702-734-0410,asian,steakhouses,438,72
102,0,3,219,` cafe bizou ',` art \ 's deli ',' 14016 ventura blvd. ',' 12224 ventura blvd. ',` sherman oaks ',` studio city ',818/788 -3536,818-762-1221,french,delis,3,1
103,1,65,283,` union square cafe ',` union square cafe ','21 e. 16th st. ','21 e. 16th st. ',` new york ',` new york city ',212/243 -4020,212-243-4020,american,` american ( new ) ',65,65
104,0,421,309,` taste of new orleans ',` ritz-carlton restaurant ',' 889 w. peachtree st. ',' 181 peachtree st. ',atlanta,atlanta,404/874 -5535,404-659-0400,southern,` french ( classic ) ',421,91
105,0,421,142,` taste of new orleans ',` alon \ 's at the terrace ',' 889 w. peachtree st. ',' 659 peachtree st. ',atlanta,atlanta,404/874 -5535,404-724-0444,southern,sandwiches,421,676
106,0,446,133,mikado,` morton \ 's of chicago ( las vegas ) ',' 3400 las vegas blvd. s ',' 3200 las vegas blvd. s. ',` las vegas ',` las vegas ',702/791 -7111,702-893-0703,asian,steakhouses,446,667
107,0,67,286,` chin \ 's ',` coyote cafe ( las vegas ) ',' 3200 las vegas blvd. s ',' 3799 las vegas blvd. s. ',` las vegas ',` las vegas ',702/733 -8899,702-891-7349,asian,southwestern,67,68
108,0,11,218,` l \ ` orangerie ',` arnie morton \ 's of chicago ',' 903 n. la cienega blvd. ',' 435 s. la cienega blvd. ',` los angeles ',` los angeles ',310/652 -9770,310-246-1501,french,steakhouses,11,0
109,0,68,290,` coyote cafe ',` steak house the ',' 3799 las vegas blvd. s ',' 2880 las vegas blvd. s. ',` las vegas ',` las vegas ',702/891 -7349,702-734-0410,southwestern,steakhouses,68,72
110,0,424,139,` bally \ 's big kitchen ',` sterling brunch ',' 3645 las vegas blvd. s ',' 3645 las vegas blvd. s. ',` las vegas ',` las vegas ',702/739 -4111,702-739-4651,buffets,eclectic,424,673
111,0,438,130,'em press court ',` michael \ 's ( las vegas ) ',' 3570 las vegas blvd. s ',' 3595 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7888,702-737-7111,asian,continental,438,664
112,0,159,221,posto,` cafe bizou ',' 14928 ventura blvd. ',' 14016 ventura blvd. ',` sherman oaks ',` sherman oaks ',818/784 -4400,818-788-3536,italian,` french bistro ',156,3
113,0,37,284,` island spice ',` virgil \ 's real bbq ',' 402 w. 44th st. ',' 152 w. 44th st. ',` new york ',` new york city ',212/765 -1737,212-921-9494,` tel caribbean ',bbq,37,66
114,0,384,177,` beesley \ 's of buckhead ',riviera,' 260 e. paces ferry road ',' 519 e. paces ferry rd. ',atlanta,atlanta,404/264 -1334,404-262-7112,continental,mediterranean,384,712
115,0,52,264,petrossian,march,' 182 w. 58th st. ',' 405 e. 58th st. ',` new york ',` new york city ',212/245 -2214,212-754-6272,french,` american ( new ) ',52,46
116,0,46,119,march,` wollensky \ 's grill ',' 405 e. 58th st. ',' 205 e. 49th st. ',` new york ',` new york city ',212/754 -6272,212-753-0444,american,steakhouses,46,653
117,0,422,175,tomtom,` palm the ( atlanta ) ',' 3393 peachtree rd. ',' 3391 peachtree rd. ne ',atlanta,atlanta,404/264 -1163,404-814-1955,continental,steakhouses,422,709
118,0,146,17,joss,` duke \ 's ',' 9255 sunset blvd. ',' 8909 sunset blvd. ',` los angeles ',` w. hollywood ',310/276 -1886,310-652-3100,asian,` coffee shops ',143,551
119,0,429,123,bistro,` buccaneer bay club ',' 3400 las vegas blvd. s ',' 3300 las vegas blvd. s. ',` las vegas ',` las vegas ',702/791 -7111,702-894-7350,continental,continental,429,657
120,0,111,188,` rose pistola ',` caffe greco ',' 532 columbus ave. ',' 423 columbus ave. ',` san francisco ',` san francisco ',415/399 -0499,415-397-6261,italian,continental,111,723
121,0,16,230,patina,` le chardonnay ( los angeles ) ',' 5955 melrose ave. ',' 8284 melrose ave. ',` los angeles ',` los angeles ',213/467 -1108,213-655-8880,californian,` french bistro ',16,12
122,0,427,130,` bertolini \ 's ',` michael \ 's ( las vegas ) ',' 3570 las vegas blvd. s ',' 3595 las vegas blvd. s. ',` las vegas ',` las vegas ',702/735 -4663,702-737-7111,italian,continental,427,664
123,0,356,258,` tang pavillion ',` la cote basque ','65 w. 55th st. ','60 w. 55th st. ',` new york ',` new york city ',212/956 -6888,212-688-6525,asian,` french ( classic ) ',356,40
124,0,68,285,` coyote cafe ',` chin \ 's ',' 3799 las vegas blvd. s ',' 3200 las vegas blvd. s. ',` las vegas ',` las vegas ',702/891 -7349,702-733-8899,southwestern,chinese,68,67
125,0,393,148,` dante \ 's down the hatch buckhead ',` brookhaven cafe ',' 3380 peachtree rd. ',' 4274 peachtree rd. ',atlanta,atlanta,404/266 -1600,404-231-5907,continental,vegetarian,393,682
126,0,374,262,` water club ',lutece,' 500 e. 30th st. ',' 249 e. 50th st. ',` new york ',` new york city ',212/683 -3333,212-752-2225,american,` french ( classic ) ',374,44
127,0,433,128,` cafe roma ',` madame ching \ 's ',' 3570 las vegas blvd. s ',' 3300 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7547,702-894-7111,` coffee shops/diners ',asian,433,662
128,0,76,179,` bone \ 's ',soto,' 3130 piedmont road ',' 3330 piedmont rd. ',atlanta,atlanta,404/237 -2663,404-233-2005,american,japanese,76,714
129,0,278,245,` l \ ` absinthe ',` cafe des artistes ',' 227 e. 67th st. ',' 1 w. 67th st. ',` new york ',` new york city ',212/794 -4950,212-877-3500,french,` french ( classic ) ',277,27
130,0,405,184,` luna si ',` white house restaurant ',' 1931 peachtree rd. ',' 3172 peachtree rd. ne ',atlanta,atlanta,404/355 -5993,404-237-7601,continental,diners,405,719
131,0,197,264,bruno,march,' 240 e. 58th st. ',' 405 e. 58th st. ',` new york ',` new york city ',212/688 -4190,212-754-6272,italian,` american ( new ) ',195,46
132,0,435,291,` carnival world ','till erman the ',' 3700 w. flamingo rd. ',' 2245 e. flamingo rd. ',` las vegas ',` las vegas ',702/252 -7777,702-731-4036,buffets,steakhouses,435,73
133,0,201,12,` cafe bianco ',` cafe blanc ',' 1486 2nd ave. between 77th and 78th sts . ',' 9777 little santa monica blvd. ',` new york ',` beverly hills ',212/988 -2655,310-888-0108,` coffee bar ',` pacific new wave ',199,546
134,0,70,132,` palace court ',moongate,' 3570 las vegas blvd. s ',' 3400 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7547,702-791-7352,continental,chinese,70,666
135,0,393,308,` dante \ 's down the hatch buckhead ',` ritz-carlton dining room ( buckhead ) ',' 3380 peachtree rd. ',' 3434 peachtree rd. ne ',atlanta,atlanta,404/266 -1600,404-237-2700,continental,` american ( new ) ',393,90
136,0,431,125,` bugsy \ 's diner ','em eril \ 's new orleans fish house ',' 3555 las vegas blvd. s ',' 3799 las vegas blvd. s. ',` las vegas ',` las vegas ',702/733 -3111,702-891-7374,` coffee shops/diners ',seafood,431,659
137,0,112,89,bolo,` la grenouille ','23 e. 22nd st. ',' 3 e. 52nd st. ',` new york ',` new york city ',212/228 -2200,212-752-1495,mediterranean,` french ( classic ) ',191,623
138,0,433,288,` cafe roma ',` palace court ',' 3570 las vegas blvd. s ',' 3570 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7547,702-731-7110,` coffee shops/diners ',` french ( new ) ',433,70
139,0,33,264,felidia,march,' 243 e. 58th st. ',' 405 e. 58th st. ',` new york ',` new york city ',212/758 -1479,212-754-6272,italian,` american ( new ) ',33,46
140,0,422,310,tomtom,toulouse,' 3393 peachtree rd. ',' 293-b peachtree rd. ',atlanta,atlanta,404/264 -1163,404-351-9533,continental,` french ( new ) ',422,92
141,0,263,77,` hard rock cafe ',` edison cafe ',' 221 w. 57th st. ',' 228 w. 47th st. ',` new york ',` new york city ',212/489 -6565,212-840-5000,american,diners,261,611
142,1,90,308,` dining room ritz-carlton buckhead ',` ritz-carlton dining room ( buckhead ) ',' 3434 peachtree rd. ',' 3434 peachtree rd. ne ',atlanta,atlanta,404/237 -2700,404-237-2700,international,` american ( new ) ',90,90
143,1,62,280,` smith & wollensky ',` smith & wollensky ',' 201 e. 49th st. ',' 797 third ave. ',` new york ',` new york city ',212/753 -1530,212-753-1530,american,steakhouses,62,62
144,0,306,324,` matthew \ 's ',` masa \ 's ',' 1030 3rd ave. at 61st st. ',' 648 bush st. ',` new york ',` san francisco ',212/838 -4343,415-989-7154,american,` french ( new ) ',305,106
145,0,119,207,` border grill ',` roosevelt tamale parlor ',' 4th st. ',' 2817 24th st. ',` los angeles ',` san francisco ',310/451 -1655,415-550-9213,mexican,mexican,116,742
